风险等级,自主等级,统一边界等级,操作示例,示例ID,Demo/场景,ActionType,目标范围,数据类别,状态变化,可撤销性,设备,Human Gate/处理方式,安全边界等级,安全边界说明,效率边界等级,效率边界说明,透明度边界等级,透明度边界说明,接管边界等级,接管边界说明,Reason Codes,备注
L0,AL5,0,后台同步任务状态,risk_ex_001,基础后台维护,sync_task_state,self,normal,background,high,pc,后台自动,S0,S0 无安全限制：不涉及敏感信息，不改变业务状态。,E0,E0 可直接自动提效：后台同步、索引、自动保存等无业务影响任务。,T0,T0 后台日志即可：用户无需实时关注，可在日志中追溯。,H0,H0 无需接管：后台运行，可在设置中关闭。,BACKGROUND_NO_BUSINESS_EFFECT,
L0,AL5,0,更新本地检索索引,risk_ex_002,基础后台维护,background_index,self,normal,background,high,pc,后台自动,S0,S0 无安全限制：不涉及敏感信息，不改变业务状态。,E0,E0 可直接自动提效：后台同步、索引、自动保存等无业务影响任务。,T0,T0 后台日志即可：用户无需实时关注，可在日志中追溯。,H0,H0 无需接管：后台运行，可在设置中关闭。,BACKGROUND_NO_BUSINESS_EFFECT,
L0,AL5,0,检测设备在线状态,risk_ex_003,跨端任务接续,check_device_presence,self,normal,background,high,pc,后台自动,S0,S0 无安全限制：不涉及敏感信息，不改变业务状态。,E0,E0 可直接自动提效：后台同步、索引、自动保存等无业务影响任务。,T0,T0 后台日志即可：用户无需实时关注，可在日志中追溯。,H0,H0 无需接管：后台运行，可在设置中关闭。,BACKGROUND_NO_BUSINESS_EFFECT,
L0,AL5,0,刷新非敏感通知角标,risk_ex_004,多任务驾驶舱,refresh_badge,self,normal,background,high,pc,后台自动,S0,S0 无安全限制：不涉及敏感信息，不改变业务状态。,E0,E0 可直接自动提效：后台同步、索引、自动保存等无业务影响任务。,T0,T0 后台日志即可：用户无需实时关注，可在日志中追溯。,H0,H0 无需接管：后台运行，可在设置中关闭。,BACKGROUND_NO_BUSINESS_EFFECT,
L0,AL5,0,保存临时编辑光标位置,risk_ex_005,跨端任务接续,save_cursor_position,self,normal,background,high,pc,后台自动,S0,S0 无安全限制：不涉及敏感信息，不改变业务状态。,E0,E0 可直接自动提效：后台同步、索引、自动保存等无业务影响任务。,T0,T0 后台日志即可：用户无需实时关注，可在日志中追溯。,H0,H0 无需接管：后台运行，可在设置中关闭。,BACKGROUND_NO_BUSINESS_EFFECT,
L1,AL4,1,保存当前报告任务快照,risk_ex_006,跨端任务接续,save_task_snapshot,self,internal,local_state_change,high,pc,自动执行，可撤销,S1,S1 低风险可撤销：仅个人可见、影响小、可回退。,E1,E1 优先交给Agent：低风险、高频、可撤销、低切换成本。,T1,T1 完成提示+撤销：显示已完成状态和撤销入口。,H1,H1 事后撤销：用户不必事前确认，但可撤销/恢复。,SNAPSHOT_CLEARABLE,
L1,AL4,1,清除手机继续卡片,risk_ex_007,跨端任务接续,clear_task_snapshot,self,internal,local_state_change,high,mobile,自动执行，可撤销,S1,S1 低风险可撤销：仅个人可见、影响小、可回退。,E1,E1 优先交给Agent：低风险、高频、可撤销、低切换成本。,T1,T1 完成提示+撤销：显示已完成状态和撤销入口。,H1,H1 事后撤销：用户不必事前确认，但可撤销/恢复。,USER_CONTROL_CLEARABLE,
L1,AL4,1,统一PPT字体和页边距,risk_ex_008,风险治理,format_document,self,internal,local_state_change,high,pc,自动执行，可撤销,S1,S1 低风险可撤销：仅个人可见、影响小、可回退。,E1,E1 优先交给Agent：低风险、高频、可撤销、低切换成本。,T1,T1 完成提示+撤销：显示已完成状态和撤销入口。,H1,H1 事后撤销：用户不必事前确认，但可撤销/恢复。,LOW_IMPACT_REVERSIBLE,
L1,AL4,1,将个人备注保存为私有,risk_ex_009,跨端任务接续,add_private_note,self,normal,local_state_change,high,mobile,自动执行，可撤销,S1,S1 低风险可撤销：仅个人可见、影响小、可回退。,E1,E1 优先交给Agent：低风险、高频、可撤销、低切换成本。,T1,T1 完成提示+撤销：显示已完成状态和撤销入口。,H1,H1 事后撤销：用户不必事前确认，但可撤销/恢复。,PRIVATE_NOTE,
L1,AL4,1,将邮件归类到个人文件夹,risk_ex_010,多任务驾驶舱,classify_mail_personal,self,normal,local_state_change,high,pc,自动执行，可撤销,S1,S1 低风险可撤销：仅个人可见、影响小、可回退。,E1,E1 优先交给Agent：低风险、高频、可撤销、低切换成本。,T1,T1 完成提示+撤销：显示已完成状态和撤销入口。,H1,H1 事后撤销：用户不必事前确认，但可撤销/恢复。,PERSONAL_REVERSIBLE,
